parent,subcategory_slug,name,url
cleaning-services,commercial-cleaning,Commercial Cleaning,https://www.finelib.com/business/cleaning-services/commercial-cleaning
cleaning-services,environmental-cleaning,Environmental Cleaning,https://www.finelib.com/business/cleaning-services/environmental-cleaning
cleaning-services,janitorial-services,Janitorial Services,https://www.finelib.com/business/cleaning-services/janitorial-services
cleaning-services,laundry-and-drycleaning-services,Laundry and Drycleaning Services,https://www.finelib.com/business/cleaning-services/laundry-and-drycleaning-services
cleaning-services,residential-cleaning,Residential Cleaning,https://www.finelib.com/business/cleaning-services/residential-cleaning
cleaning-services,retail-and-shop-cleaning-companies,Retail and Shop Cleaning Companies,https://www.finelib.com/business/cleaning-services/retail-and-shop-cleaning-companies
clothing,babies-wears,Babies Wears,https://www.finelib.com/business/clothing/babies-wears
clothing,boxers-and-briefs,Boxers and Briefs,https://www.finelib.com/business/clothing/boxers-and-briefs
clothing,bridal-accessories,Bridal Accessories,https://www.finelib.com/business/clothing/bridal-accessories
clothing,children-clothes,Children Clothes,https://www.finelib.com/business/clothing/children-clothes
clothing,clothing-accessories,Clothing Accessories,https://www.finelib.com/business/clothing/clothing-accessories
clothing,clothing-alteration,Clothing Alteration,https://www.finelib.com/business/clothing/clothing-alteration
clothing,clothing-boutiques,Clothing Boutiques,https://www.finelib.com/business/clothing/clothing-boutiques
clothing,clothing-equipment,Clothing Equipment,https://www.finelib.com/business/clothing/clothing-equipment
clothing,clothing-merchants,Clothing Merchants,https://www.finelib.com/business/clothing/clothing-merchants
clothing,costumes,Costumes,https://www.finelib.com/business/clothing/costumes
clothing,dry-cleaners-and-laundry,Dry Cleaners and Laundry,https://www.finelib.com/business/clothing/dry-cleaners-and-laundry
clothing,fabric-designers,Fabric Designers,https://www.finelib.com/business/clothing/fabric-designers
clothing,fashion-designers,Fashion Designers,https://www.finelib.com/business/clothing/fashion-designers
clothing,fashion-schools,Fashion Schools,https://www.finelib.com/business/clothing/fashion-schools
clothing,jewelleries,Jewelleries,https://www.finelib.com/business/clothing/jewelleries
clothing,leather-wears,Leather Wears,https://www.finelib.com/business/clothing/leather-wears
clothing,lingerie,Lingerie,https://www.finelib.com/business/clothing/lingerie
clothing,modeling-agencies,Modeling Agencies,https://www.finelib.com/business/clothing/modeling-agencies
clothing,polo-and-t_shirt,Polo and T-Shirt,https://www.finelib.com/business/clothing/polo-and-t_shirt
clothing,sewing-machine-dealers,Sewing Machine Dealers,https://www.finelib.com/business/clothing/sewing-machine-dealers
clothing,shoes,Shoes,https://www.finelib.com/business/clothing/shoes
clothing,sunglasses,Sunglasses,https://www.finelib.com/business/clothing/sunglasses
clothing,swimming-trunks,Swimming Trunks,https://www.finelib.com/business/clothing/swimming-trunks
clothing,textiles-and-fabrics,Textiles and Fabrics,https://www.finelib.com/business/clothing/textiles-and-fabrics
clothing,uniforms-and-work-wears,Uniforms and Work Wears,https://www.finelib.com/business/clothing/uniforms-and-work-wears
construction,architects,Architects,https://www.finelib.com/business/construction/architects
construction,associations-and-bodies,Associations and Bodies,https://www.finelib.com/business/construction/associations-and-bodies
construction,brick-and-tiles,Brick and Tiles,https://www.finelib.com/business/construction/brick-and-tiles
construction,building-construction,Building Construction,https://www.finelib.com/business/construction/building-construction
construction,cement,Cement,https://www.finelib.com/business/construction/cement
construction,concrete,Concrete,https://www.finelib.com/business/construction/concrete
